u,v,length
68211351,68196085,82.03999999999999
68211352,6305792941,72.661
68211352,68211354,149.115
68211352,68211351,92.72
68211354,68373119,136.69
68211354,68211355,24.785
68211354,68211352,149.115
68211355,68211356,111.912
68211355,68211354,24.785
68211355,68238338,199.637
68211356,68210723,105.224
68211356,68211355,111.912
68211356,68293928,265.77
68211372,68298411,300.739
68211372,68211373,35.709
68211372,68210723,277.691
68211373,68310484,151.633
68211373,68211374,86.201
68211373,68211372,35.709
68211374,68211380,92.192
68211374,68211373,86.201
68211374,68293939,248.75599999999997
68211380,68211382,80.812
68211380,68211374,92.192
68211380,68275388,221.832
68211382,68211383,122.926
68211382,68211380,80.812
68211383,68211382,122.926
68211383,68180752,85.955
68212032,68212041,86.85
68212041,68212032,86.85
68212041,68194522,327.003
68212041,5941246174,51.197
68212379,68198195,124.394
68212379,69253116,279.41700000000003
68212379,68307735,249.06100000000004
68212384,68212386,62.386
68212384,68198195,30.738
68212384,68250927,348.534
68212386,68212389,43.867
68212386,68212384,62.386
68212386,68250916,77.30000000000001
68212389,68212386,43.867
68212389,68374068,393.677
68212389,68212391,66.066
68212391,68212393,24.939
68212391,68212389,66.066
68212391,68280726,221.291
68212393,68212391,24.939
68212393,68212416,292.537
68212393,68339759,157.822
68212416,68214207,74.494
68212416,68212427,99.252
68212416,68212393,292.53700000000003
68212416,69256337,611.0609999999999
68212427,68212416,99.25200000000001
68212427,68178828,108.468
68212427,68214207,73.096
68212995,68213178,107.874
68212995,68212999,202.536
68212995,68213176,336.69100000000003
68212995,68207711,131.071
68212999,68203757,275.57
68212999,68212995,202.536
68212999,68207713,126.116
68213001,68207715,129.349
68213001,68203757,183.36700000000002
68213001,68446916,170.858
68213176,68213178,153.661
68213176,68196485,787.605
68213176,68212995,336.69100000000003
68213178,68212995,107.874
68213178,68213176,153.661
68213178,68445495,308.07099999999997
68213178,68294108,69.035
68213748,68213751,170.42
68213748,68228068,149.807
68213748,68310952,112.865
68213751,68213748,170.42
68213751,68387279,448.737
68213751,68310956,114.047
68213872,68213873,107.654
68213872,68269309,259.39300000000003
68213873,68213872,107.654
68213873,68338890,88.662
68213873,68213877,361.895
68213877,68213873,361.895
68213877,68188946,37.086
68213877,68179220,66.972
68214105,68214107,222.062
68214105,68245557,123.175
68214105,68294093,109.852
68214107,68214105,222.062
68214107,68310952,70.877
68214107,68310950,110.755
68214207,68212416,74.494
68214207,68325917,509.4509999999999
68214207,68212427,73.096
68214207,68280726,292.76800000000003
68214809,467852466,83.19
68214809,68294113,116.161
68214809,68233220,140.89600000000002
68214809,68294108,204.568
68214812,384327223,231.176
68214812,68224769,90.425
68214812,467852466,348.353
68214812,68164022,95.129
68215811,68215819,145.142
68215811,68249586,197.861
68215811,68194530,135.51
68215811,68196087,270.127
68215819,68215831,129.892
68215819,68215811,145.142
68215819,68196090,259.4
68215819,3075942846,175.778
68215831,68215819,129.892
68215831,68196092,248.797
68215831,68306990,113.416
68215841,68196096,249.124
68215841,68293949,107.471
68215841,495951718,42.864
68215875,68215876,165.392
68215875,68270281,230.308
68215875,68294136,176.548
68215875,68206041,118.54
68215876,68215875,165.392
68215876,68204752,197.296
68215876,68365210,140.859
