u,v,length
69515842,69614527,184.97899999999998
69515842,69436045,1057.1499999999999
69515842,69421277,563.0689999999998
69515842,69588600,139.56699999999998
69515873,2390850312,61.120000000000005
69515873,1278546096,106.852
69515896,69150809,255.47299999999998
69515896,69372832,148.021
69515896,4229149051,368.676
69515924,69326265,87.828
69515924,69157532,30.747999999999998
69515924,69373146,192.85300000000004
69515924,69157530,23.987000000000002
69516416,3107884163,2454.3479999999995
69516416,69552957,401.2059999999999
69516416,2867449809,77.469
69536758,69616415,36.686
69536758,69536785,404.406
69536758,3382299289,31.927
69536785,69536758,404.40599999999995
69536974,69618148,1226.7659999999998
69537103,7515540252,73.833
69537103,7062844552,2514.6460000000006
69540572,1600746493,102.17500000000001
69540572,69634053,298.874
69545590,5006641311,277.366
69545590,3369205352,61.078
69545590,3582046472,439.39599999999996
69546346,1235755387,14.932
69552957,2509917599,29.543
69552957,5425991500,31.271
69552957,69516416,401.20599999999996
69556258,4850945628,60.268
69562456,69156539,71.013
69562456,69215148,75.395
69562456,69215127,172.779
69573255,69115445,52.304
69573269,5173481691,265.908
69573269,5412096079,1393.8219999999997
69573269,69244831,453.56600000000003
69573600,5430680540,43.344
69573600,69506348,138.52800000000002
69573600,5430680537,40.338
69573600,5430680541,84.78399999999999
69573611,69156552,552.4530000000001
69573611,2611736892,519.5350000000001
69573611,5430680541,472.48199999999997
69576791,69157532,372.374
69576791,69349951,129.01
69576795,69304657,341.65299999999996
69576795,69349951,109.393
69588600,69589540,188.48199999999997
69588600,69515842,139.56699999999998
69588600,69436063,1039.595
69589374,69501986,577.718
69589374,2511912086,75.247
69589540,1573471363,549.5850000000002
69589540,69614574,1089.374
69589540,69588600,188.48199999999997
69589641,69506154,1222.886
69589641,5674178518,1463.7930000000001
69589641,5442365917,2500.8329999999987
69589641,69614574,1769.9920000000002
69589734,3798477115,8.448
69589734,5424022137,31.695
69589734,69506154,35.016999999999996
69594647,69190067,1345.1050000000002
69594647,69594678,576.974
69594647,69171444,1062.6820000000002
69594647,926858112,405.965
69594678,69594647,576.9739999999998
69594877,5411749582,1653.7689999999998
69594877,5422301826,708.384
69594971,4330170560,121.957
69594971,69594988,255.12600000000003
69594988,69102633,939.2009999999999
69594988,69594971,255.246
69613927,69657397,292.90299999999996
69613927,69215132,32.129000000000005
69614527,69515842,184.97899999999998
69614527,69372813,175.885
69614574,69589540,1089.374
69614574,69589641,1769.9919999999997
69614574,69146775,1216.9900000000005
69616381,69312491,661.08
69616381,69372780,134.59099999999998
69616397,69440383,1011.669
69616397,69340214,2031.8119999999992
69616397,69372813,126.24999999999999
69616413,1278536804,17.418
69616413,283194350,1856.721
69616415,69114062,144.27800000000002
69618148,7138638672,99.20199999999998
69618148,69536974,1226.7660000000003
69625430,1600746533,84.325
69625430,2909537442,47.757000000000005
69628220,5436991921,3203.373000000001
69628220,69255657,1654.7639999999997
69628220,69291433,2462.4740000000006
69633953,69562456,636.0620000000001
69633953,69326341,103.67000000000002
69634029,344924939,15.249
69634029,69634033,51.776
69634033,69634053,1160.9050000000002
69634033,69634029,51.776
69634033,7138426978,33.804
69634053,7136775800,14.133
69634053,69540572,298.874
69634053,69634033,1160.905
69647664,5411749582,50.906
69650499,2706655645,36.485
69657397,69476284,213.505
69657397,69245675,149.693
69657397,5430680548,134.122
69677861,69487715,127.00999999999999
69677861,2906518943,112.907
283194350,1278558734,63.50300000000001
283194350,69500711,74.924
315544245,69419513,40.036
318456685,69167160,47.519
318456685,69167153,38.557
336156027,69255843,107.08800000000001
336156437,7138638672,324.54799999999994
336156437,336156027,141.171
344924544,7138426984,22.153
344924544,69331014,65.709
344924544,69202382,32.676
344924939,69202382,14.643
344924939,69634029,15.249
463545340,463545360,74.65
463545340,69342303,47.984
463545360,463545396,82.327
463545360,69465389,95.699
463545360,69342303,55.694
463545396,69342310,187.038
588870569,69233166,41.81
588870569,69348334,1653.501
661038350,69310560,37.748
661038350,661038352,48.06400000000001
661038350,69255685,622.2149999999999
661038351,1572629607,65.93700000000001
661038351,69394418,3210.9490000000005
661038351,69310560,47.832
661038352,69310560,37.844
661038352,661038351,69.58
661038352,69310540,1106.485
681262448,69373146,308.028
926858112,69407564,130.323
926858112,69594647,408.17599999999993
1037846094,5423954709,330.187
1037846094,9411825223,227.50900000000001
1235755387,2253195935,23.618
1235755387,5230967752,14.801
1235755387,69650499,376.031
1278536804,69372832,145.824
1278536804,69424999,563.353
1278546096,69515873,106.852
1278546096,4229149051,73.876
1278558750,1278536804,1935.4449999999995
1280114240,5940874978,51.877
1400950462,68147084,28.574
1400950462,68147083,35.355
1400950462,68367940,3557.5110000000013
1572629607,69310560,50.137
1572629607,5412704553,1807.121
1573471363,69421284,25.723
1573471363,9535944762,20.822
1581270385,1581270420,50.535
1581270420,3369205352,842.119
1581270420,69149894,502.36100000000005
1600192464,1600192490,82.03999999999999
1600192490,69255167,1456.3129999999999
1600192490,5426326848,118.294
1600746477,1600746504,36.694
1600746477,69134855,32.99
1600746493,1600746517,53.842
1600746493,2909537441,73.178
1600746493,69540572,102.175
1600746500,69625430,9.472
1600746504,69540572,106.69800000000001
1600746517,1600746477,56.979
1600746533,69625430,84.325
1861951606,5430680548,39.795
1861951606,69476273,154.588
1861951606,5430680545,37.789
1929996308,336156027,25.701999999999998
1929996308,1929996336,52.951
1929996336,336156437,82.47800000000002
2253195935,2253195936,15.473
2253195935,8194133272,856.3580000000001
2253195936,69546346,23.319
2253195936,6350060850,927.7240000000002
2253202319,69193021,17.637
2253202319,7515540252,526.37
2253202319,6350207456,173.672
2253272378,69101504,14.895
2253272378,7138737903,533.4169999999999
2253272381,2253272378,9.78
2253272382,2253272381,14.658
2253272382,2253195936,1095.266
2253272477,2253272382,499.56700000000006
2253448797,3582046407,52.27
2253448797,69157530,177.77200000000002
2253448797,69245196,730.6659999999999
2390850312,69421277,120.498
2390850312,69515873,60.897000000000006
2401559405,69324227,593.1630000000001
2430587514,69239416,1543.7470000000003
2430587514,69476287,281.63300000000004
2430587514,2430587517,38.016
2507729347,5439816370,691.6490000000001
2507729347,2507729350,64.262
2507729350,8313946706,45.084
2507729350,8313946707,25.45
2507729381,2507729347,171.044
2508763908,69172101,62.92699999999999
2509917599,69552957,29.543
2509917599,4330170531,201.578
2511829122,2511829133,218.55399999999997
2511829126,5649592816,21.597
2511829126,68196556,32.554
2511829141,3369514499,247.727
2511912086,69589374,75.654
2511912086,69292799,1084.4289999999996
2611736892,2611736897,59.114
2611736892,69348334,41.638000000000005
2611736892,69573611,519.535
2611736897,69348285,278.787
2611736897,69348334,55.866
2672279830,2672279831,38.965
2672279830,69131077,62.432
2672279831,4402671253,439.965
2706655645,2706655647,40.259
2706655645,5230967735,30.139000000000003
2706655647,69650499,42.769
2706655647,5230967752,330.942
2867449809,3657346112,1167.4220000000005
2867449809,69516416,77.469
2890041374,69258160,110.00800000000001
2906518943,69677861,113.042
2909516843,5952811158,61.274
2909537441,2909537442,39.596
2909537441,1600746517,60.238
2909537441,1600746500,49.714999999999996
2909537442,2909537441,39.596
2909537442,69172899,2045.1440000000002
2909537442,1600746493,107.262
2909537442,1600746500,38.204
2911510961,69372826,13.534
2911510961,2911510963,78.013
2911510962,69616397,564.955
2911510962,2911510961,132.497
2911510963,69372826,77.655
2911510963,69421271,244.17999999999998
3107884159,3107884163,34.830999999999996
3107884163,69516416,2454.348
3107884163,69340013,1203.1750000000002
3369205352,1581270420,842.1189999999999
3369205352,69545590,60.718999999999994
3369514499,69191500,28.334
3369514499,5649592815,21.451999999999998
3382299289,69616415,29.095
3382299289,69536758,31.927
3382299289,69102642,207.518
3582046472,3582046473,186.19800000000004
3582046472,5292420720,823.6249999999999
3582046472,7192645517,469.906
3582046473,69112333,38.795
3582046473,5430716744,27.247999999999998
3582046473,3582046472,186.198
3582046474,5430716744,9.33
3582046474,69112333,34.647000000000006
3582046474,7502147715,129.412
3633073271,69506018,62.443000000000005
3633073271,6521799667,399.77099999999996
3657346112,69594877,790.9599999999998
3657346112,5422301827,32.306
3661064309,69587332,41.641000000000005
3661064309,69340013,67.709
3661064309,3662509387,2199.3959999999997
3662509387,69310874,1450.2200000000003
3662509387,3661064309,2199.3959999999993
3662509387,3662509379,52.649
3740926105,69129631,347.543
3798477115,69239982,13.488
3798477115,69589734,8.448
4136953692,69190088,48.193999999999996
4214310936,69233189,86.023
4214310936,69233166,425.906
4229149051,1278546096,73.325
4229149051,69515896,368.676
4330170531,4330170560,133.125
4330170531,4330170560,89.356
4330170531,2509917599,201.578
4330170560,69594971,121.957
4330170560,4330170531,89.356
4346984765,4402671249,43.946000000000005
4346984765,69124438,33.132999999999996
4402667583,69348285,142.685
4402667583,69215185,52.775000000000006
4402671249,4402671341,5.078
4402671253,69633953,9.03
4402671253,4402671407,47.992000000000004
4402671305,2672279830,451.78200000000004
4402671305,4402671253,103.65699999999998
4402671341,4402671407,10.242
4402671341,69633953,47.778999999999996
4402671407,4402671341,10.242
4402671407,4402667583,31.292
4453723417,5253681613,229.96699999999998
4453723417,69109861,329.706
4510476479,69146733,1392.7719999999997
4768032951,5442595465,30.829
4850945628,5442595465,244.933
4850945628,69324227,539.6610000000002
5006641311,69545590,277.366
5006641311,69326265,152.546
5173481686,69115445,14.051
5173481686,5173481688,52.608000000000004
5173481688,69573255,15.128
5173481688,5173481691,34.354
5173481691,69573269,265.908
5173481691,69573255,33.453
5173481694,5173481686,135.95499999999998
